ID de transação,É novo usuário?,Parceiro,Data da transação,Valor da compra,Comissão da compra,Cashback da compra
135213,TRUE,C,2025-08-09,397.29,39.73,19.86
120195,FALSE,C,2025-08-25,251.21,25.12,12.56
129292,FALSE,A,2025-08-13,126.62,12.66,6.33
145926,FALSE,B,2025-09-18,269.71,26.97,13.49
122734,FALSE,C,2025-09-11,169.95,17,8.5
140329,FALSE,A,2025-09-21,198.29,19.83,9.91
132192,TRUE,C,2025-09-03,343.34,34.33,17.17
109307,FALSE,A,2025-08-19,208.37,20.84,10.42
110008,FALSE,A,2025-09-12,183.05,18.31,9.15
106621,TRUE,A,2025-09-12,384.68,38.47,19.23
145312,FALSE,B,2025-09-20,233.77,23.38,11.69
129528,FALSE,C,2025-09-10,205.89,20.59,10.29
119618,TRUE,C,2025-09-05,354.56,35.46,17.73
109618,TRUE,A,2025-08-28,402.26,40.23,20.11
110669,TRUE,A,2025-08-18,312.95,31.3,15.65
135727,FALSE,C,2025-09-03,165.74,16.57,8.29
144771,FALSE,C,2025-09-18,219.66,21.97,10.98
113668,FALSE,C,2025-09-03,133.71,13.37,6.69
123219,TRUE,C,2025-09-11,429.95,43,21.5
145806,FALSE,C,2025-09-17,204.2,20.42,10.21
126746,FALSE,C,2025-08-19,211.09,21.11,10.55
110348,FALSE,A,2025-09-03,219.82,21.98,10.99
146933,FALSE,A,2025-09-20,193.58,19.36,9.68
107574,FALSE,A,2025-09-04,255.49,25.55,12.77
144683,FALSE,A,2025-09-18,214.53,21.45,10.73
112885,FALSE,B,2025-09-11,238.88,23.89,11.94
124220,TRUE,C,2025-08-12,401.84,40.18,20.09
106554,FALSE,A,2025-09-02,207.33,20.73,10.37
146379,FALSE,C,2025-09-27,232.11,23.21,11.61
144991,FALSE,C,2025-09-18,228.62,22.86,11.43
118181,FALSE,B,2025-08-02,224.15,22.42,11.21
112085,TRUE,A,2025-09-09,394.19,39.42,19.71
134049,TRUE,B,2025-08-26,356.65,35.66,17.83
118322,FALSE,C,2025-08-03,176.68,17.67,8.83
142605,FALSE,A,2025-09-27,197.01,19.7,9.85
112842,FALSE,B,2025-08-26,216.47,21.65,10.82
103874,TRUE,B,2025-09-05,388.96,38.9,19.45
100768,FALSE,C,2025-08-13,152.72,15.27,7.64
122406,FALSE,A,2025-08-13,184.88,18.49,9.24
116096,FALSE,A,2025-08-05,193.27,19.33,9.66
117612,FALSE,B,2025-09-12,207.27,20.73,10.36
145446,FALSE,C,2025-09-20,188.45,18.84,9.42
140804,FALSE,A,2025-09-16,212.38,21.24,10.62
138299,FALSE,B,2025-09-27,196.32,19.63,9.82
115909,TRUE,C,2025-08-08,430.42,43.04,21.52
131223,TRUE,B,2025-09-05,361.23,36.12,18.06
108390,FALSE,A,2025-08-13,164.04,16.4,8.2
137738,FALSE,B,2025-09-16,209.55,20.96,10.48
131598,TRUE,B,2025-08-14,405.89,40.59,20.29
105349,FALSE,C,2025-09-07,169.21,16.92,8.46
132860,TRUE,A,2025-09-13,336.86,33.69,16.84
133626,FALSE,B,2025-08-29,166.22,16.62,8.31
102707,FALSE,B,2025-09-08,170.35,17.04,8.52
127196,TRUE,C,2025-08-20,331.77,33.18,16.59
122933,TRUE,C,2025-08-31,443.16,44.32,22.16
105809,FALSE,A,2025-08-11,163.18,16.32,8.16
104855,TRUE,C,2025-08-26,398,39.8,19.9
114478,FALSE,A,2025-08-12,157.05,15.71,7.85
140155,FALSE,B,2025-09-21,208.68,20.87,10.43
126615,FALSE,B,2025-08-19,180.04,18,9
112399,FALSE,B,2025-08-07,214.7,21.47,10.74
106497,FALSE,B,2025-08-14,258.95,25.9,12.95
108276,TRUE,A,2025-09-11,456.4,45.64,22.82
131928,FALSE,A,2025-08-31,217.41,21.74,10.87
100396,FALSE,A,2025-08-18,189.76,18.98,9.49
139012,FALSE,A,2025-09-25,206.7,20.67,10.34
100930,TRUE,B,2025-08-11,375.46,37.55,18.77
113616,FALSE,A,2025-08-14,209.14,20.91,10.46
148374,FALSE,B,2025-09-30,201.01,20.1,10.05
111681,FALSE,C,2025-08-14,187.85,18.78,9.39
135544,FALSE,C,2025-09-07,185.94,18.59,9.3
120900,FALSE,B,2025-08-04,215.61,21.56,10.78
100741,TRUE,A,2025-08-19,451.93,45.19,22.6
144293,FALSE,B,2025-09-17,200.36,20.04,10.02
142980,FALSE,B,2025-09-15,227.36,22.74,11.37
113968,FALSE,A,2025-08-14,194.75,19.48,9.74
122685,TRUE,C,2025-08-17,379.74,37.97,18.99
138062,FALSE,A,2025-09-28,219.81,21.98,10.99
104708,FALSE,C,2025-08-18,191.92,19.19,9.6
130931,FALSE,A,2025-09-07,196.75,19.68,9.84
122023,FALSE,C,2025-09-08,162.38,16.24,8.12
108633,TRUE,C,2025-08-03,407.3,40.73,20.37
117379,TRUE,A,2025-08-04,399.81,39.98,19.99
142874,FALSE,B,2025-09-19,186.58,18.66,9.33
129667,TRUE,C,2025-08-17,440.09,44.01,22
137631,FALSE,A,2025-09-28,212.11,21.21,10.61
124113,FALSE,C,2025-08-25,176.62,17.66,8.83
116553,TRUE,A,2025-08-28,431.95,43.2,21.6
115303,FALSE,B,2025-08-31,179.65,17.96,8.98
111783,FALSE,A,2025-08-05,243.42,24.34,12.17
118445,FALSE,A,2025-09-12,240.11,24.01,12.01
114807,FALSE,A,2025-08-02,199.65,19.97,9.98
114858,FALSE,A,2025-09-01,169.37,16.94,8.47
142674,FALSE,A,2025-09-15,171.57,17.16,8.58
118798,TRUE,A,2025-09-09,337.13,33.71,16.86
132608,TRUE,C,2025-08-12,362.8,36.28,18.14
146167,FALSE,A,2025-09-22,216.83,21.68,10.84
103131,TRUE,A,2025-08-22,432.81,43.28,21.64
140474,FALSE,B,2025-09-20,228.42,22.84,11.42
109736,FALSE,C,2025-08-03,191.7,19.17,9.58
124154,TRUE,B,2025-08-14,463.9,46.39,23.2
145018,FALSE,A,2025-09-17,191.84,19.18,9.59
132147,FALSE,C,2025-08-30,178.54,17.85,8.93
126933,FALSE,A,2025-09-02,219.82,21.98,10.99
116141,FALSE,A,2025-08-25,204.4,20.44,10.22
117937,TRUE,A,2025-08-18,424.5,42.45,21.22
130297,TRUE,B,2025-09-09,399.32,39.93,19.97
113743,TRUE,A,2025-08-24,423.04,42.3,21.15
127426,FALSE,A,2025-08-13,198.55,19.86,9.93
118607,TRUE,A,2025-09-04,276.97,27.7,13.85
136531,FALSE,A,2025-08-09,208.18,20.82,10.41
114446,FALSE,B,2025-09-05,153.66,15.37,7.68
130744,FALSE,A,2025-09-04,244.46,24.45,12.22
134152,FALSE,A,2025-08-31,212.96,21.3,10.65
146794,FALSE,A,2025-09-23,232.94,23.29,11.65
111951,FALSE,B,2025-08-29,234.93,23.49,11.75
129775,FALSE,A,2025-08-10,138.78,13.88,6.94
112855,TRUE,A,2025-09-09,460.79,46.08,23.04
144457,FALSE,C,2025-09-28,189.48,18.95,9.47
137303,TRUE,B,2025-08-25,458.26,45.83,22.91
104504,FALSE,B,2025-08-21,189.47,18.95,9.47
105883,FALSE,C,2025-08-08,236.64,23.66,11.83
109424,FALSE,B,2025-09-12,233.24,23.32,11.66
132761,TRUE,B,2025-08-24,399.95,40,20
143038,FALSE,B,2025-09-20,178.88,17.89,8.94
118513,FALSE,A,2025-09-13,210.05,21.01,10.5
132175,FALSE,C,2025-08-10,176.93,17.69,8.85
103176,TRUE,A,2025-08-13,391.59,39.16,19.58
117059,FALSE,B,2025-08-29,206.43,20.64,10.32
131115,TRUE,C,2025-09-07,435.25,43.53,21.76
139984,FALSE,B,2025-09-18,169.15,16.92,8.46
135196,FALSE,A,2025-08-04,190.78,19.08,9.54
143016,FALSE,A,2025-09-23,193.31,19.33,9.67
145064,FALSE,A,2025-09-25,195.45,19.55,9.77
133200,FALSE,C,2025-08-11,194.96,19.5,9.75
118998,FALSE,C,2025-08-04,205.42,20.54,10.27
133982,FALSE,B,2025-08-26,189.61,18.96,9.48
149489,FALSE,A,2025-09-29,147.52,14.75,7.38
108766,TRUE,B,2025-08-16,396.86,39.69,19.84
132618,FALSE,C,2025-08-25,171.37,17.14,8.57
108707,FALSE,A,2025-09-12,192.93,19.29,9.65
125557,TRUE,A,2025-09-05,451.29,45.13,22.56
126052,FALSE,B,2025-09-10,215.11,21.51,10.76
125416,TRUE,C,2025-08-30,420.08,42.01,21
118453,FALSE,B,2025-09-01,189.95,19,9.5
110053,FALSE,B,2025-08-15,178.59,17.86,8.93
149142,FALSE,B,2025-09-27,208.07,20.81,10.4
131264,FALSE,A,2025-09-13,195.45,19.55,9.77
108330,FALSE,C,2025-09-10,187.57,18.76,9.38
118920,FALSE,C,2025-08-09,195.82,19.58,9.79
109089,FALSE,C,2025-09-04,182.49,18.25,9.12
149350,FALSE,A,2025-09-29,195.2,19.52,9.76
118924,FALSE,B,2025-09-08,176.94,17.69,8.85
113314,FALSE,B,2025-09-09,173.86,17.39,8.69
136215,FALSE,C,2025-08-26,196.12,19.61,9.81
137655,FALSE,A,2025-09-17,176.44,17.64,8.82
116254,TRUE,A,2025-08-14,355.03,35.5,17.75
128446,FALSE,C,2025-08-16,205.67,20.57,10.28
100372,FALSE,A,2025-08-02,210.44,21.04,10.52
147869,FALSE,A,2025-09-23,211.06,21.11,10.55
148006,FALSE,B,2025-09-23,169.16,16.92,8.46
130732,FALSE,C,2025-08-06,169.65,16.96,8.48
115802,FALSE,B,2025-08-15,236.81,23.68,11.84
103030,FALSE,C,2025-09-10,176.49,17.65,8.82
133266,FALSE,C,2025-08-09,180.83,18.08,9.04
146012,FALSE,B,2025-09-27,191.86,19.19,9.59
131390,FALSE,B,2025-08-17,207.88,20.79,10.39
118636,FALSE,B,2025-08-01,223.32,22.33,11.17
125973,FALSE,B,2025-08-08,233.28,23.33,11.66
146971,TRUE,A,2025-09-22,430.89,43.09,21.54
122482,FALSE,A,2025-08-29,141.25,14.12,7.06
121021,TRUE,C,2025-08-15,406.58,40.66,20.33
141863,FALSE,B,2025-09-30,203.82,20.38,10.19
122857,FALSE,A,2025-09-04,205.73,20.57,10.29
115189,FALSE,C,2025-08-23,184.8,18.48,9.24
123143,TRUE,C,2025-09-05,255.96,25.6,12.8
118084,FALSE,A,2025-09-04,234.81,23.48,11.74
137063,FALSE,A,2025-08-11,160.84,16.08,8.04
107677,TRUE,C,2025-09-06,326.46,32.65,16.32
123342,TRUE,B,2025-08-03,418.91,41.89,20.95
134458,FALSE,A,2025-09-09,195.6,19.56,9.78
140467,FALSE,C,2025-09-25,197.64,19.76,9.88
148622,FALSE,B,2025-09-23,212.21,21.22,10.61
138598,FALSE,B,2025-09-25,221.38,22.14,11.07
110312,FALSE,C,2025-08-17,115.28,11.53,5.76
